code,red,blue,date,entropy_temp,entropy_pressure
2025001,"02,05,09,12,17,23",14,2025-01-01,8.6,1011.4
2025002,"03,21,23,27,30,33",16,2025-01-01,19.0,1013.8
2025003,"01,10,11,16,19,32",11,2025-01-01,5.8,1006.0
2025004,"01,18,19,23,26,33",06,2025-01-01,28.1,1022.0
2025005,"09,11,12,23,24,31",07,2025-01-01,26.2,1021.6
2025006,"01,08,12,16,21,30",11,2025-01-01,32.9,1001.4
2025007,"09,15,20,23,29,30",14,2025-01-01,20.2,1019.2
2025008,"03,04,05,06,13,20",08,2025-01-01,22.7,981.6
2025009,"04,13,15,20,21,27",14,2025-01-01,-5.9,993.2
2025010,"02,10,26,30,31,32",06,2025-01-01,7.3,1020.9
2025011,"01,04,06,14,24,28",02,2025-01-01,-6.2,1000.5
2025012,"08,09,20,24,31,32",09,2025-01-01,28.5,1012.3
2025013,"17,19,21,24,27,33",09,2025-01-01,33.5,1018.0
2025014,"07,10,14,21,22,24",15,2025-01-01,24.9,981.1
2025015,"08,15,21,22,23,30",15,2025-01-01,37.9,997.7
2025016,"01,02,03,25,31,33",13,2025-01-01,9.7,1017.4
2025017,"06,07,10,12,13,17",16,2025-01-01,25.3,1016.0
2025018,"07,11,16,24,26,28",06,2025-01-01,27.4,1013.9
2025019,"06,10,17,23,27,32",08,2025-01-01,10.6,1004.6
2025020,"09,13,14,20,26,30",12,2025-01-01,17.9,998.2
2025021,"12,14,16,25,27,31",07,2025-01-01,38.1,1018.9
2025022,"06,14,17,18,24,25",16,2025-01-01,-0.6,1028.6
2025023,"11,14,20,22,23,33",15,2025-01-01,14.6,984.1
2025024,"01,03,13,18,28,31",07,2025-01-01,28.1,987.0
2025025,"04,11,12,13,19,26",12,2025-01-01,26.2,1003.3
2025026,"04,13,15,16,24,27",02,2025-01-01,32.1,998.7
2025027,"09,10,13,16,19,22",07,2025-01-01,-9.9,995.8
2025028,"09,11,14,24,28,32",05,2025-01-01,18.5,1009.0
2025029,"11,22,26,30,31,32",10,2025-01-01,25.9,1014.0
2025030,"05,07,11,18,21,31",11,2025-01-01,11.8,1003.1
2025031,"11,12,14,21,26,28",13,2025-01-01,22.8,1025.5
2025032,"02,05,09,13,25,31",16,2025-01-01,-3.4,1011.9
2025033,"02,04,13,27,32,33",03,2025-01-01,13.1,989.1
2025034,"01,06,10,21,25,29",02,2025-01-01,20.0,1021.4
2025035,"04,07,21,26,27,28",05,2025-01-01,9.2,1024.7
2025036,"03,07,10,16,23,30",06,2025-01-01,26.1,994.5
2025037,"01,07,20,26,27,33",02,2025-01-01,9.5,1013.7
2025038,"07,08,18,21,23,33",11,2025-01-01,12.6,1004.3
2025039,"01,04,13,19,21,33",13,2025-01-01,-3.5,991.4
2025040,"03,08,13,28,29,32",10,2025-01-01,19.7,984.2
2025041,"01,02,04,07,13,17",14,2025-01-01,30.1,1028.9
2025042,"03,08,12,26,29,32",09,2025-01-01,16.7,1013.4
2025043,"03,06,16,19,22,28",02,2025-01-01,31.3,1009.3
2025044,"13,14,17,20,26,33",03,2025-01-01,26.2,993.8
2025045,"03,20,23,24,25,33",11,2025-01-01,27.1,1010.9
2025046,"02,06,12,17,19,25",09,2025-01-01,23.9,1015.5
2025047,"02,09,21,24,25,27",03,2025-01-01,32.8,989.9
2025048,"04,05,11,13,19,24",09,2025-01-01,9.4,986.9
2025049,"08,09,14,16,27,30",15,2025-01-01,15.2,994.2
2025050,"06,18,24,25,27,28",05,2025-01-01,6.5,1012.0
